adid,n_interests,custom
6274947067401,7,0
23848503447720352,6,0
6257529604587,0,0
23848544024450618,0,1
6260678384768,0,0
23848430450430711,0,0
23849216227890099,1,0
23848728173520648,0,1
23849347044900405,1,0
23848351011320248,0,1
6260883455484,0,0
23849626252650337,0,1
23848985938670100,0,1
23849462027560196,0,0
23849052657280602,0,1
23848781472560718,0,0
23848107233210612,0,0
23848919677360105,0,1
6253962225626,0,0
23848962307510496,7,0
6244481999776,0,0
23849338476630405,0,1
6270072009623,0,1
6280210955630,0,1
6248943790689,0,1
23849176235800125,0,1
23848463231180407,9,0
23848642335360617,0,0
23848445241260352,0,1
23848560067930155,0,1
6259376826381,0,0
23849872328280543,0,0
6269430591801,0,1
6262908202656,1,0
23848349891150627,0,0
6252505533146,0,0
23849128112680683,0,1
23848393783590425,1,0
23848967309710370,0,0
6257530255587,0,0
23847661433710534,0,0
23848684401530535,1,0
23849842726460746,0,0
23848502297950352,0,1
23848939363060753,0,0
23849441203300227,0,1
6244314972937,5,0
23848922282950167,0,1
23848532267740454,0,0
23847742124810231,7,0
23849836334350746,0,0
23849295551990415,1,0
23848445429570350,2,0
23848941136460091,9,1
23849422856220396,0,0
23848426347960067,0,1
6266421931172,0,0
23848692936270174,0,0
6237187585203,0,0
6257719537827,0,0
23849383771510403,3,0
23848488974220745,0,0
6239225230769,0,0
6251255057929,0,0
23848608957390685,0,0
6254608111899,10,0
23848403466100425,1,0
23848635197610135,0,0
6249932708599,0,1
23848626139210297,0,0
23849609044520090,0,0
6251000748761,1,0
23848747986950569,0,1
23848570343860598,0,0
6258067918069,0,1
23849159920820125,1,0
23848747383250106,0,0
23848825827320775,0,0
6248497316283,0,1
23849170509140713,0,0
23849425265370080,0,0
23849069970840697,0,1
23849377450620708,0,0
6258018898885,1,0
6266761235786,0,0
23849311169860160,0,0
23848633801030786,1,0
6269007950061,0,0
23848820119950480,1,0
6259895633710,0,1
23849060537460714,0,0
23849416796320227,1,0
23849295267280780,0,1
23849525241840246,0,0
6262526380893,0,0
23849688171110505,0,0
23848834321790690,0,0
23848685482360524,0,1
6258435809004,0,1
6251968484096,0,0
23848081271320252,1,0
23849501164190089,1,1
23849742755180505,2,0
23848204814820786,0,0
23848268062610166,0,0
23848570607720598,0,0
23848221765620176,1,0
6257672321187,1,0
6286451690220,0,0
6265929342259,0,0
6274797384851,0,0
6245572593976,0,0
23848828041970544,0,1
23848824432630198,0,0
23848343019340265,3,0
23848008529590503,0,0
23848952852070118,0,0
23848376502150274,0,0
6266415200917,0,0
23849805354390396,0,0
6259094423557,0,0
23848587501120618,5,0
6255520716147,0,0
6268802701282,0,1
23849724222870337,0,0
23848552056080124,0,1
6254379077391,0,1
23848682681720581,2,0
23849273049650391,0,0
23848679458920451,0,1
23849743673050342,0,1
23849582804290333,0,0
6245287798067,0,0
6265196326964,0,1
23848279226930627,0,1
6280814233151,2,0
23848914831050354,0,1
23849333145500025,1,1
23848246679500147,0,0
23849020941720105,0,1
6268167802674,0,1
6267332076572,0,1
23849333107210320,0,1
6244030814763,0,0
6241693478737,3,0
23849169902480125,0,1
6251007480633,1,0
6239861284398,0,1
23848698448120718,0,0
23849532709630540,0,1
23848947110260686,3,0
23848521457580644,0,1
6266459852540,0,0
23848907717220390,1,0
23849052854190714,0,1
6259113495170,0,0
23849705326400111,0,1
23849431512990613,1,0
23849439591030227,1,0
23849954586090628,0,0
23848887978560336,6,0
23848465393240383,0,0
6244397036797,0,1
23849017749740661,0,0
6265965180517,0,0
23849809165890337,0,0
6255976057608,0,0
23848155319210561,0,0
6261343431169,0,0
6272070581724,1,0
6285317456774,0,0
23849530309590241,0,0
23849870055480746,0,0
6247939770307,3,0
23849668057880426,0,1
6257672333187,1,0
23849031938640015,2,0
6257672328187,0,0
23849321872980411,0,1
6266758969947,0,0
23848904481150097,0,1
23848323226340570,2,0
23848532268460454,0,0
23848845507750353,0,0
23849101986740641,0,0
23849108062260508,0,0
23848524771550110,0,0
6267276522801,0,0
23848606616910598,0,0
23848727549370639,0,0
6254652665265,0,0
6251569672826,0,0
6251382937329,0,0
6234793709694,0,1
23848811656300698,0,0
23848582715490466,0,0
23849918630210543,0,1
23848880725160659,1,0
23848786706790157,0,0
23848823651020203,0,1
6263161838432,0,0
6267546544867,1,0
23847814974960110,0,0
23849439593870227,0,0
6282039390073,0,0
23849525245040246,0,0
6263837517110,0,1
23849245852970041,0,1
23849123897030716,0,0
23848662839940054,0,0
23848747966780569,0,0
23849421151310405,0,1
23849297306660403,0,0
23849012344510653,0,0
23849773681180505,0,0
23849603166500658,10,0
6251802828304,0,0
23849335572540160,0,0
23848759690020166,0,0
6247496458171,0,0
6240292637026,0,0
23848393774780425,2,0
23848913150130774,0,0
23849068575650716,0,0
23849047873050412,0,0
6266311328561,0,0
23849336815680703,0,0
23849321754620411,0,1
23849295214230585,0,0
23849167970000712,0,0
6256375319696,0,1
6257672284587,0,0
6225357115479,0,0
6299330031670,2,0
6258055609069,5,0
23848436181070668,2,0
23848686808030264,2,0
23848704955520726,0,0
23849147633200304,0,0
23848881180290711,12,0
23848772703990319,0,0
23848887977070336,6,0
6258415474569,0,0
23848846270420014,0,0
23848331508410113,0,0
23849525237990246,0,0
23849435674440578,0,0
23849489109590163,1,0
23848459113460750,0,0
6244162043563,0,0
23849110913960713,0,0
23848783027490711,0,1
23848887979950336,6,0
23849179943320650,0,0
23848540599130428,0,0
23849159970660716,0,0
23848738391860502,0,0
23848470291860721,0,0
23849533057960299,0,0
6255703686133,0,0
23848891673360218,0,0
6258046611469,1,0
23848989871790189,0,0
6279045093382,0,0
6248283790930,1,0
6271906592835,0,0
23848933614850480,0,0
6257672328387,1,0
23849165754310153,0,0
23848751903590595,0,0
6242765374576,0,0
6257672337787,1,0
23849804602430543,0,0
23848720313480170,0,1
23849000186320371,0,0
23848636634440122,0,0
6250439077202,0,0
6264963564815,0,0
6259347850847,0,0
23849064399530127,0,0
6259122594570,0,0
23848864861380711,0,0
6294622186520,0,0
23848914058630001,1,0
6279492132050,0,0
23849042310070268,7,0
23848977465540293,0,0
23849342718000020,0,0
6286227720424,0,0
23848689944720161,0,0
23848336779070673,0,0
6250347688222,5,0
23849238837040403,0,0
23848967453760406,1,0
6239991821221,0,0
23848719164720077,1,0
23848403490810425,2,0
23849143604740683,0,1
23848779419500788,0,0
23849730317340369,0,0
23849544917760089,0,0
23849018575010017,0,0
23848521124490470,0,0
23848780953190756,0,0
23849182262320680,0,0
23849279114140272,11,0
23849480949310244,0,0
23848284240030598,1,0
6244370141799,0,0
6253356690010,0,0
23848341805250422,0,0
6286443344020,0,0
23848811098260735,0,0
23849108889550000,8,0
23848552069980701,0,0
23848473447880673,0,0
6241405501421,0,0
6273901850601,0,0
23848716969950569,0,0
23849211686230091,0,0
23849353816360299,2,0
23849090233550680,3,0
6268306233384,1,0
23848951951830390,1,0
23849455794600190,0,0
6282218489751,0,0
6257333088827,0,0
6245979231546,0,0
23849213227450391,1,0
23849132215940710,0,1
23848620193950676,0,0
6299329949870,0,0
6259666737981,1,0
23849544909620089,0,0
23849383796990084,0,0
6253463241135,0,0
6267029654144,1,0
23849000909830715,1,0
23848305084330724,0,0
23849321864750411,0,0
23848679458950451,0,0
23849049005050455,0,0
23849580177540049,0,0
6258023872016,4,0
23848759045990652,2,0
23848819237160231,0,0
23848821119930072,0,0
23848975304510061,0,0
6254714905069,0,1
6273726945166,0,1
23848980647220053,0,0
23847239765590387,1,0
23849216021750534,1,0
6274180046931,0,0
6266244850944,0,0
6242167254400,0,0
23848716079290265,0,1
23848525440430646,3,0
23848387217210155,0,0
6276805042657,0,1
23848814882940711,8,0
23848809696680274,0,0
6263416834806,0,0
23848686765530316,0,0
23847979396370440,0,0
23848808275800785,0,0
23849112615770200,2,0
23849621261790658,0,0
23849158648910478,0,0
23848631244790725,0,0
23848607556570626,1,0
23849060256080524,0,1
23849006516630480,2,0
23848701893060425,1,0
23848640670400051,1,0
6256887288608,0,1
23849252001700654,0,0
23848614656830002,0,0
23848506948500420,1,0
23848373358470636,3,0
23849043442950100,6,0
6262711954979,0,0
23848545904980179,0,0
23849440620220748,2,0
23848800444480430,0,0
23849173796470576,1,0
23849107307280748,0,0
23849892899110342,0,1
23847948227490531,1,0
23848698457690231,0,0
23848640542120420,0,0
23848624282810598,0,0
6254347488504,0,0
6242770356176,0,1
23848703206720473,0,1
23848742368270142,0,0
23849280322740272,0,0
23848519735780410,0,0
23848612210690413,0,1
23849664339130731,0,0
23849269416680777,0,0
23848664505990572,0,0
6258048324669,0,0
23849015959750723,0,0
6232487013169,0,0
23848008547160503,0,0
23848403505870425,4,0
23848745896390207,0,0
23843338039780796,0,0
23848843796720443,0,0
23848023133260306,0,0
23849809172600337,0,0
23848721021070409,0,0
23848694220120376,0,0
23849119139210061,2,0
23849320325720321,0,0
23848794440230142,0,0
23848941590850234,0,0
23848149153740608,1,0
23848940797950218,0,0
23848637534040673,0,0
23848672442820264,2,0
6260574698769,0,0
23848754218210580,0,0
6275202930853,0,1
6253960486826,0,0
23848512209210352,0,1
23849051761700555,0,1
6258048300469,0,0
23848293692210471,0,0
6273847634086,1,0
23849898682540202,4,0
23849110441030061,1,0
23849211662560033,0,0
23848647920140787,0,0
6250809343799,1,0
23849321869840411,0,0
23848567946530596,0,1
23848008546340503,0,0
23848633022590018,5,0
23848716962650569,0,0
23848944913110680,4,0
23849339465540405,0,1
23849223624760462,0,1
6266468721111,2,0
23848215644430561,0,0
23848779420470788,0,0
23849293854110233,0,0
6255249234704,1,0
23849133277690378,0,1
23848816513250278,0,0
6268737859588,3,0
6254109807065,2,0
6255338495502,0,0
23848816091920701,0,0
6253311758401,0,0
6226186149900,0,0
23849606637090628,3,0
6257376168252,0,1
23848553860740573,0,0
6257672303187,1,0
23848791621230528,0,0
23848277294470354,0,0
23847554150460085,0,0
23848828201920120,2,0
23848738109440170,0,1
6255374541125,0,0
6261691334687,3,0
23849384021490405,0,0
23848638448440094,0,0
23849000253370439,1,0
6258047600469,0,0
23848879326520234,0,0
6271570707724,0,0
23849870224780543,0,0
6253175305826,0,1
23849234125060385,0,0
23848865092680517,0,0
23849209571680125,0,1
6255564051247,0,0
23848926332730110,0,0
6262054890960,0,1
23849523716000540,0,0
6242854521136,0,0
23849852760480010,0,0
23848557919080302,0,0
23849143001550478,5,0
6268603876483,1,0
23848218081810159,0,0
23849309069170579,0,0
23848238681020442,0,0
23847554150640085,0,0
23848859186150354,0,0
6263636324006,0,0
23848830699590073,1,0
6246705958075,0,0
6258048308069,0,0
23848993012760310,0,1
6257039215808,0,0
23848375959710433,0,1
6261274797256,0,0
6243751362997,0,1
23848658540070225,0,1
23848821887720101,0,0
23848693665690711,0,1
23849202847470105,2,0
6279386881506,0,0
6265951679263,1,0
23848743678480083,0,0
23848922282350167,0,1
6242071906648,6,0
23849020942320105,0,1
6260404296484,5,0
23849357094530706,0,0
23849226631400303,19,0
23848582709270466,0,0
23848840917610076,4,0
23848827771350665,0,1
23849144949240015,1,0
23848559702700352,0,0
6274345229624,0,0
23848990932170590,10,0
6267928609066,2,1
23849736108280241,0,1
6267705551947,0,0
23848511691870407,9,0
23848999409940354,0,0
23848749329960600,0,1
6267013039972,0,0
6294273665520,5,0
23848954374290713,0,0
23849568959410089,0,0
23847263126240460,0,0
23849167559030681,2,0
6256325167291,0,0
23848627550720340,0,0
23848679682730569,0,0
6270663820596,0,1
6277148680819,5,0
23849492059370083,0,0
6242914680477,0,0
23849244527180540,8,0
23848898683500483,0,1
23848598731750618,4,0
23849048524070583,3,0
23848876537010447,0,0
23849302293360233,0,0
6250730318033,6,0
23848826743260559,0,0
23848816746470401,1,0
23848728465490204,0,0
6257672283187,1,0
6282220153751,0,0
6282218692151,2,0
6250779816399,0,0
6266093459964,0,0
23849743683090342,0,0
6265697881161,0,0
6221372463256,0,1
23848771654420731,0,0
6250884064903,0,1
23848460124100745,0,1
6260728157096,0,0
6255918030467,0,0
23849145317910096,0,0
23849435584660681,1,0
6269628696988,0,1
