relevance,scam_dislike,other_dislike,general_like,general_dislike,sensitive,prohibited,harmful,clickbait,benign,code_other,pid
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,1,0,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,1,0,5c4af67cdccaa800016b3192
3,0,0,1,0,0,0,0,1,1,0,5c4af67cdccaa800016b3192
3,0,0,1,0,1,0,0,0,0,0,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
1,0,1,0,1,1,0,0,0,0,0,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
5,0,0,1,0,0,0,0,0,1,0,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
3,1,1,0,1,0,0,0,0,0,1,60bd88b8fc436774352f53b9
3,0,1,0,1,0,0,0,1,0,0,5c4af67cdccaa800016b3192
3,0,0,1,0,0,0,0,0,0,1,5c4af67cdccaa800016b3192
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,1,0,0,0,0,0,60ee4077cdf4f24a1c607783
4,1,1,0,1,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,1,0,0,0,0,0,60ee4077cdf4f24a1c607783
4,0,0,1,0,1,0,0,0,0,0,60ee4077cdf4f24a1c607783
3,0,0,1,0,0,0,0,0,1,0,60ee4077cdf4f24a1c607783
3,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
3,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
3,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
3,0,0,1,1,0,0,0,0,0,1,612e7ef85edba8d26ef96c99
4,0,0,1,0,0,0,0,0,1,0,60ee4077cdf4f24a1c607783
1,0,1,0,1,0,0,0,0,1,0,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,1,0,60ee4077cdf4f24a1c607783
3,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
2,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,1,0,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
4,0,0,1,0,0,0,0,0,0,1,60ee4077cdf4f24a1c607783
