adid	codes
23848470291860721	Benign
23848977927210268	Benign
23848422221130328	Benign
23848550498030261	Benign
23848802438400569	Benign
23849356294020038	Benign
23848637106790046	Benign
23848342973110265	Benign
23849272959130149	Benign
6277456630082	Benign
23849544909620089	Benign
23848502448840544	Opportunity
23848632041940296	Benign
6242767454376	Benign
23849577273960331	Benign
23848781671070064	Benign
23848845995330659	Benign
23848221765620176	Benign
6222563576487	Benign
23847867196510160	Benign
23848996242150436	Benign
23849568959410089	Benign
23849326544600320	Benign
23849015787880424	Benign
23849097498350174	Benign
23849525245040246	Benign
6258435809004	Benign
6269007950061	Benign
6254879481987	Benign
23848930099160633	Benign
23848267375740745	Benign
23849456156870233	Benign
6254652665265	Benign
6253461486626	Benign
23849149237260486	Healthcare
23848643800570391	Healthcare
23849633700430090	Benign
23848821336050057	Benign
23849161286990609	Benign
6267546544867	Opportunity
23848541167700329	Benign
23848781838580465	Benign
23848815821730561	Benign
23849898680260202	Benign
23849196584060565	Benign
6285612695664	Opportunity
23849160422480005	Healthcare
23847987131760128	Benign
23848647920140787	Benign
23849107954710167	Benign
23849377450620708	Benign
23848709983240465	Benign
23849396077330362	Opportunity
6257854557499	Benign
23849180781090600	Benign
23849300183160340	Benign
23849286703470181	Benign
6274838676619	Opportunity
23848319582890254	Benign
23848979363860354	Benign
6274740466978	Benign
23847761526320694	Benign
23849075127180561	Benign
23848964015380758	Benign
23848958815190335	Benign
23848323226340570	Benign
6255976119208	Benign
6244397036797	Benign
6264762145352	Benign
23849804358710536	Benign
23848562714270450	Benign
23848665545260529	Benign
23848808275800785	Benign
23849035735150268	Benign
23849139954450611	Benign
23848672442820264	Opportunity
23848933614850480	Benign
23849453967450651	Financial
23849374962610078	Benign
23849133271990471	Benign
6266811672063	Benign
23849323582690534	Benign
23848890809140228	Benign
23848633797060388	Benign
6238181256863	Benign
6308345345126	Benign
23848933614860480	Benign
23849083001310406	Benign
6267123346356	Benign
23849021572660521	Benign
6258063059452	Benign
6276718104001	Benign
6246379187597	Benign
23849673345020070	Benign
23848752201740274	Benign
6273901457601	Benign
23848917709700465	Benign
23848647920750787	Benign
23848568337330002	Benign
23849375096880374	Benign
6260248231114	Benign
23849381176580706	Benign
23849286279510585	Benign
23848693665690711	Benign
6287049659774	Benign
23848792409280316	Benign
23848196976890319	Benign
23848957356040235	Benign
23848774166980466	Benign
23848914058630001	Benign
6244370141799	Benign
23849060256080524	Benign
23848983471400302	Opportunity
6245186351788	Benign
23849311169860160	Benign
23849017137840235	Benign
23848341805250422	Benign
23848210748210715	Benign
23848998586910335	Benign
23849941881360158	Benign
23847810477230676	Benign
6274069638635	Benign
23849099085890374	Benign
6244062928821	Benign
23848089566460351	Benign
6262734688476	Benign
23848972792880134	Benign
6252909681400	Benign
6270738390768	Healthcare
23848429752340584	Benign
23848995057190757	Benign
23849825129350342	Benign
23848820182220715	Benign
23848869825520377	Benign
23849137096220252	Healthcare
23848614656830002	Benign
23848819237160231	Healthcare
23849157985940311	Benign
23849154158980565	Benign
23849170486230252	Healthcare
23849458786010290	Benign
6275116610686	Benign
23849227340220471	Benign
6240704128697	Benign
23849619139410333	Benign
23849164482250057	Benign
23849044580510545	Benign
23849619323790579	Benign
6286443344020	Benign
6258484452101	Benign
23848636634440122	Benign
23849148725330511	Benign
23848938185080519	Clickbait
23849639478120530	Benign
23848412815750116	Benign
23849352161670311	Sensitive
23849372815910651	Financial
23848520724700440	Benign
23849109165930061	Benign
23848495301120651	Financial
23848790377040466	Benign
6275816212366	Benign
23848494069560352	Benign
23849839954510628	Benign
23849298918140077	Benign
23849417052520777	Benign
6275406333601	Opportunity
23849898682490202	Benign
6243401529848	Benign
6255703686133	Benign
23849147633200304	Benign
23847737143030595	Benign
6256840175892	Benign
6246612991122	Benign
23848669933420784	Benign
6273726945166	Benign
23848680327110494	Benign
6259011901429	Benign
6282218489751	Healthcare
23847165895550033	Benign
6254679549272	Benign
23849408249540028	Benign
6260824776753	Healthcare
6282338436353	Benign
23848235250770740	Benign
6260247136714	Benign
23849288605570276	Healthcare
6260187997844	Benign
23849047648780412	Healthcare
23849162062300309	Financial
6266933241744	Benign
6225357115479	Benign
6244396668597	Benign
23849027315500523	Healthcare
23849332977700770	Benign
23848681655450580	Benign
23849416796320227	Benign
23849060537460714	Benign
23848782149450014	Benign
23849097300820250	Healthcare
23848735250590235	Benign
23848662972100520	Benign
6276805042657	Benign
23849091385210563	Benign
23849367891600104	Benign
23848912732200257	Benign
23848863230880255	Benign
23848582710780466	Benign
23849684911560070	Benign
23848694220120376	Benign
